Name,Email,SalesPage
Sara Morse,morse_s@gmail.com,acessorios
Karen Parker,parker_k@icloud.com,notebooks
Skyler White,white.s@gmail.com,notebooks
Hector Salamanca,salamanca.h@outlook.com,monitores
Martin Underwood,underwood_m@outlook.com,monitores
Clifford Main,main.c@gmail.com,monitores
Erin Brill,brill_e@gmail.com,monitores
Tyrus Kitt,kitt_t@gmail.com,acessorios
Gary Ramos,ramos.g@outlook.com,notebooks
Marco Salamanca,salamanca.m@gmail.com,acessorios
Steven Gomez,gomez_s@icloud.com,monitores
Mark Vega,vega_m@gmail.com,acessorios
Karen Arnold,arnold.k@gmail.com,monitores
Tracey Stokes,stokes_t@outlook.com,acessorios
Howard Hamlin,hamlin.h@outlook.com,notebooks
Tuco Salamanca,salamanca.t@outlook.com,acessorios
Teresa Barrett DVM,dvm.t@icloud.com,monitores
Kimberly Wallace,wallace_k@outlook.com,acessorios
James Jones,jones_j@gmail.com,monitores
Bill Williams,williams_b@icloud.com,notebooks
Kim Wexler,wexler_k@gmail.com,acessorios
Daniel Ayala,ayala.d@outlook.com,acessorios
Sobchak,sobchak.s@gmail.com,acessorios
Kelly Mendoza,mendoza_k@icloud.com,notebooks
Dr. Cruz,cruz.d@icloud.com,notebooks
Gale Boetticher,boetticher.g@gmail.com,acessorios
Lydia Rodarte-Quayle,rodarte-quayle_l@icloud.com,monitores
Leonel Salamanca,salamanca.l@gmail.com,notebooks
Viola Goto,goto_v@icloud.com,notebooks
Sarah Dickerson,dickerson_s@gmail.com,notebooks
Aimee Mccarthy,mccarthy_a@gmail.com,notebooks
Kathleen Stevens,stevens.k@icloud.com,computadores e PCs
Richard Costa,costa_r@outlook.com,acessorios
Walter White Jr.,jr._w@outlook.com,acessorios
Alison Turner,turner.a@gmail.com,monitores
Craig Kettleman,kettleman_c@outlook.com,computadores e PCs
Elizabeth Bush,bush.e@icloud.com,acessorios
Dr. Caldera,caldera_d@gmail.com,acessorios
David Collins,collins_d@gmail.com,monitores
Kaylee Ehrmantraut,ehrmantraut.k@gmail.com,notebooks
Roberto Johnson,johnson.r@gmail.com,notebooks
Rich Schweikart,schweikart.r@gmail.com,monitores
Jane Margolis,margolis.j@outlook.com,acessorios
Werner Ziegler,ziegler.w@gmail.com,acessorios
Maureen Bruckner,bruckner_m@icloud.com,computadores e PCs
Linda Harvey,harvey.l@outlook.com,computadores e PCs
Sandra Payne,payne.s@outlook.com,acessorios
Don Eladio Vuente,vuente.d@gmail.com,computadores e PCs
Megan Myers,myers_m@outlook.com,acessorios
Hank Schrader,schrader.h@icloud.com,notebooks
Marie Schrader,schrader_m@gmail.com,acessorios
Gustago Fring,fring.g@icloud.com,monitores
Mary Lyons,lyons.m@gmail.com,acessorios
Rachel Martin,martin_r@icloud.com,monitores
Kelly Mcclain,mcclain.k@gmail.com,computadores e PCs
Scott Leblanc,leblanc_s@icloud.com,computadores e PCs
Rebecca Woods,woods.r@icloud.com,monitores
Alicia Richardson,richardson_a@outlook.com,notebooks
Stacey Ehrmantraut,ehrmantraut_s@icloud.com,notebooks
